,mid,name,sex,level,has_fans_badge,title,has_live_room,zone
546195,546195,老番茄,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'鬼畜': 1, '生活': 52, '影视': 1, '音乐': 6, '游戏': 294}"
321173469,321173469,哔哩哔哩大会员,男,6,False,哔哩哔哩大会员官方账号,1,"{'动画': 1, '时尚': 1, '生活': 11, '影视': 2, '美食': 1}"
517327498,517327498,罗翔说刑法,保密,6,True,bilibili 知名UP主、直播签约主播,1,"{'动画': 1, '生活': 1, '纪录片': 1, '影视': 1, '美食': 2, '知识': 109, '游戏': 1, '娱乐': 1}"
777536,777536,LexBurner,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'动画': 191, '生活': 41, '国创': 4, '影视': 4, '资讯': 1, '音乐': 1, '知识': 1, '游戏': 147}"
9824766,9824766,敬汉卿,男,6,True,bilibili 2019百大UP主、2019年度弹幕人气奖UP主,1,"{'舞蹈': 1, '时尚': 2, '生活': 1008, '数码': 6, '美食': 56, '音乐': 2, '知识': 6, '游戏': 6, '娱乐': 2}"
20165629,20165629,共青团中央,保密,6,True,共青团中央 官方账号,1,"{'动画': 16, '电视剧': 21, '鬼畜': 7, '舞蹈': 6, '时尚': 8, '生活': 257, '国创': 34, '纪录片': 109, '影视': 79, '数码': 3, '资讯': 1581, '美食': 4, '电影': 2, '音乐': 236, '知识': 617, '游戏': 14, '娱乐': 36}"
14110780,14110780,凉风Kaze,保密,6,True,bilibili  2019百大UP主、知名UP主,1,"{'动画': 232, '生活': 60, '国创': 6, '纪录片': 1, '影视': 27, '资讯': 1, '音乐': 1, '知识': 4, '游戏': 4}"
19577966,19577966,李子柒,保密,6,False,bilibili 知名美食UP主,1,"{'时尚': 1, '生活': 15, '美食': 121}"
122879,122879,敖厂长,保密,6,True,bilibili 2018百大UP主、知名UP主,1,"{'生活': 15, '影视': 6, '数码': 7, '美食': 4, '游戏': 322}"
62540916,62540916,周六野Zoey,保密,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 130, '生活': 28, '美食': 5, '知识': 3, '娱乐': 1}"
50329118,50329118,哔哩哔哩英雄联盟赛事,保密,6,True,哔哩哔哩英雄联盟赛事直播官方账号,1,"{'动画': 1, '鬼畜': 2, '时尚': 1, '生活': 1, '音乐': 4, '游戏': 2651}"
562197,562197,中国BOY超级大猩猩,男,6,True,bilibili 2019百大UP主、知名UP主,1,"{'时尚': 5, '生活': 301, '影视': 1, '数码': 6, '美食': 11, '音乐': 4, '知识': 1, '游戏': 1059, '娱乐': 1}"
466272,466272,机智的党妹,保密,6,True,bilibili 2019百大UP主、年度多元创新UP主,1,"{'舞蹈': 7, '时尚': 118, '生活': 43, '美食': 9}"
1532165,1532165,papi酱,保密,6,True,bilibili 2018百大UP主、知名搞笑UP主,1,"{'时尚': 2, '生活': 197, '美食': 1}"
1577804,1577804,某幻君,男,6,True,bilibili 2019百大UP主、 知名UP主,1,"{'动画': 2, '舞蹈': 1, '生活': 33, '影视': 1, '美食': 1, '音乐': 9, '知识': 1, '游戏': 197, '娱乐': 1}"
10330740,10330740,观察者网,保密,6,True,观察者网 官方账号,1,"{'鬼畜': 1, '舞蹈': 3, '时尚': 7, '生活': 1099, '纪录片': 4, '影视': 90, '数码': 10, '资讯': 6742, '美食': 7, '音乐': 10, '知识': 1022, '游戏': 9, '娱乐': 34}"
18202105,18202105,绵羊料理,女,6,True,bilibili 2019百大UP主、知名美食UP主,1,"{'生活': 10, '美食': 272, '知识': 1}"
176037767,176037767,我是郭杰瑞,男,6,True,bilibili 2019百大UP主、 知名UP主,1,"{'生活': 307, '数码': 1, '资讯': 3, '美食': 113}"
163637592,163637592,老师好我叫何同学,保密,6,True,bilibili 2019百大UP主、2019年度最佳作品奖UP主,1,"{'生活': 3, '数码': 31, '知识': 5}"
250858633,250858633,华农兄弟,保密,6,True,bilibili 知名UP主,1,"{'生活': 262, '美食': 123, '游戏': 2}"
489412051,489412051,哔哩哔哩晚会,保密,6,True,哔哩哔哩晚会官方账号,1,"{'生活': 3, '影视': 1, '数码': 1, '音乐': 32, '娱乐': 170}"
1935882,1935882,指法芬芳张大仙,男,6,True,知名游戏主播张大仙,1,"{'动画': 1, '鬼畜': 1, '生活': 34, '美食': 3, '音乐': 2, '游戏': 3040}"
